SEXO,NIVEL_ACADEMICO,DPTO_INSTITUCION,ORDEN,SECTOR_ADMTIVO,NATURALEZA_JURIDICA,CLASIFICACION_ORGANICA,NIVEL_JERARQUICO_EMPLEO,TIPO_NOMBRAMIENTO,ASIG_BASICA,FECHA_VINCULACION
FEMENINO,PREGRADO,SANTANDER,TERRITORIAL,NO APLICA,ALCALDÍA,RAMA EJECUTIVA,DIRECTIVO,LIBRE NOMBRAMIENTO Y REMOCIÓN,2832350.0,2021-01-04
FEMENINO,POSTGRADO,NORTE DE SANTANDER,TERRITORIAL,NO APLICA,ESTABLECIMIENTO PÚBLICO,RAMA EJECUTIVA,PROFESIONAL,LIBRE NOMBRAMIENTO Y REMOCIÓN,3751270.0,2015-09-01
FEMENINO,POSTGRADO,SANTANDER,TERRITORIAL,NO APLICA,ALCALDÍA,RAMA EJECUTIVA,DIRECTIVO,LIBRE NOMBRAMIENTO Y REMOCIÓN,2550946.0,2020-01-01
FEMENINO,POSTGRADO,BOGOTÁ. D.C.,NACIONAL,NO APLICA,ESPECIAL,SISTEMA INTEGRAL DE VERDAD JUSTICIA REPARACIÓN Y NO REPETICIÓN,DIRECTIVO,PERIODO FIJO,4535038.0,2018-02-12
FEMENINO,PREGRADO,SANTANDER,TERRITORIAL,NO APLICA,EMPRESA SOCIAL DEL ESTADO,RAMA EJECUTIVA,PROFESIONAL,LIBRE NOMBRAMIENTO Y REMOCIÓN,2242548.0,2018-03-05
FEMENINO,POSTGRADO,BOGOTÁ. D.C.,NACIONAL,NO APLICA,ESTABLECIMIENTO PÚBLICO,RAMA JUDICIAL,PROFESIONAL,LIBRE NOMBRAMIENTO Y REMOCIÓN,5952334.0,2004-10-15
FEMENINO,POSTGRADO,BOGOTÁ. D.C.,NACIONAL,NO APLICA,ESTABLECIMIENTO PÚBLICO,RAMA JUDICIAL,PROFESIONAL,LIBRE NOMBRAMIENTO Y REMOCIÓN,6796534.0,1995-10-10
FEMENINO,PREGRADO,SANTANDER,TERRITORIAL,NO APLICA,EMPRESA DE SERVICIOS PÚBLICOS DOMICILIARIOS OFICIAL,RAMA EJECUTIVA,PROFESIONAL,LIBRE NOMBRAMIENTO Y REMOCIÓN,2010761.0,2016-01-19
FEMENINO,SIN INFORMACION,BOGOTÁ. D.C.,NACIONAL,NO APLICA,ESTABLECIMIENTO PÚBLICO,ÓRGANO AUTÓNOMO,PROFESIONAL,LIBRE NOMBRAMIENTO Y REMOCIÓN,4807338.0,2007-06-26
FEMENINO,PREGRADO,BOGOTÁ. D.C.,NACIONAL,NO APLICA,ESTABLECIMIENTO PÚBLICO,RAMA JUDICIAL,PROFESIONAL,LIBRE NOMBRAMIENTO Y REMOCIÓN,4249624.0,2020-05-11
